Time [s],Value,Parity Error,Framing Error
12.4844136250,0x01,,
12.4844483750,0x05,,
12.4844831250,0x00,,
12.4845178125,0x01,,
12.4845525625,0x00,,
12.4845873125,0x00,,
12.4846220625,0x0A,,
12.4846567500,0x9C,,
12.5504326250,0x01,,
12.5504673125,0x05,,
12.5505020625,0x00,,
12.5505368125,0x00,,
12.5505715000,0xFF,,
12.5506062500,0x00,,
12.5506410000,0x3A,,
12.5506757500,0x8C,,
12.6135896250,0x01,,
12.6136243750,0x06,,
12.6136590625,0x00,,
12.6136938125,0x01,,
12.6137285625,0x00,,
12.6137632500,0x0A,,
12.6137980000,0x0D,,
12.6138327500,0x58,,
12.6780699375,0x01,,
12.6781046875,0x05,,
12.6781393750,0x00,,
12.6781741250,0x01,,
12.6782088750,0xFF,,
12.6782435625,0x00,,
12.6782783125,0xFA,,
12.6783130625,0xDD,,
12.7532825000,0x01,,
12.7533172500,0x06,,
12.7533519375,0x00,,
12.7533866875,0x03,,
12.7534214375,0x00,,
12.7534561250,0x28,,
12.7534908750,0xD4,,
12.7535256250,0x79,,
12.8176516875,0x01,,
12.8176863750,0x06,,
12.8177211250,0x00,,
12.8177558750,0x04,,
12.8177906250,0x0F,,
12.8178253125,0xDC,,
12.8178600625,0x62,,
12.8178948125,0xCC,,
12.8724208750,0x01,,
12.8724556250,0x06,,
12.8724903125,0x00,,
12.8725250625,0x28,,
12.8725598125,0x41,,
12.8725945000,0x20,,
12.8726292500,0x4A,,
12.8726640000,0x38,,
12.9369428750,0x01,,
12.9369775625,0x06,,
12.9370123125,0x00,,
12.9370470625,0x29,,
12.9370818125,0xA7,,
12.9371165000,0x98,,
12.9371512500,0x98,,
12.9371860000,0x23,,
13.0013363750,0x01,,
13.0013710625,0x06,,
13.0014058125,0x00,,
13.0014405625,0x2A,,
13.0014752500,0x40,,
13.0015100000,0xD0,,
13.0015447500,0x5E,,
13.0015795000,0x98,,
13.0658722500,0x01,,
13.0659069375,0x06,,
13.0659416875,0x00,,
13.0659764375,0x2B,,
13.0660111875,0x2C,,
13.0660458750,0x18,,
13.0660806250,0x08,,
13.0661153750,0xE5,,
13.1302726875,0x01,,
13.1303073750,0x06,,
13.1303421250,0x00,,
13.1303768750,0x2C,,
13.1304115625,0x40,,
13.1304463125,0xA2,,
13.1304810625,0x7A,,
13.1305158125,0xF8,,
13.1947495000,0x01,,
13.1947842500,0x06,,
13.1948190000,0x00,,
13.1948536875,0x2D,,
13.1948884375,0xEA,,
13.1949231875,0xDB,,
13.1949578750,0xF8,,
13.1949926250,0x16,,
13.2592715000,0x01,,
13.2593062500,0x06,,
13.2593409375,0x00,,
13.2593756875,0x2E,,
13.2594104375,0x40,,
13.2594451875,0x87,,
13.2594798750,0x61,,
13.2595146250,0x98,,
13.3236788750,0x01,,
13.3237136250,0x06,,
13.3237483750,0x00,,
13.3237830625,0x2F,,
13.3238178125,0xC3,,
13.3238525625,0xB6,,
13.3238872500,0x45,,
13.3239220000,0x69,,
13.3881591875,0x01,,
13.3881939375,0x06,,
13.3882286875,0x00,,
13.3882633750,0x30,,
13.3882981250,0x40,,
13.3883328750,0x74,,
13.3883675625,0x22,,
13.3884023125,0xB8,,
13.4526499375,0x01,,
13.4526846875,0x06,,
13.4527193750,0x00,,
13.4527541250,0x31,,
13.4527888750,0x60,,
13.4528236250,0x48,,
13.4528583125,0x33,,
13.4528930625,0xF0,,
13.5171580625,0x01,,
13.5171927500,0x06,,
13.5172275000,0x00,,
13.5172622500,0x32,,
13.5172969375,0x40,,
13.5173316875,0x59,,
13.5173664375,0xFF,,
13.5174011875,0xD9,,
13.5815654375,0x01,,
13.5816001250,0x06,,
13.5816348750,0x00,,
13.5816696250,0x33,,
13.5817043125,0x39,,
13.5817390625,0x24,,
13.5817738125,0x8E,,
13.5818085625,0x6B,,
25.5816596250,0x01,,
25.5816943750,0x13,,
25.5817290625,0x77,,
25.5817638125,0xFF,,
25.5817985625,0x80,,
25.5818332500,0x00,,
25.5818680000,0x77,,
25.5819027500,0x00,,
25.5819375000,0x0D,,
25.5819721875,0x00,,
25.5820069375,0x12,,
25.5820416875,0x00,,
25.5820763750,0x15,,
25.5821111250,0x00,,
25.5821458750,0x19,,
25.5821806250,0x00,,
25.5822153125,0x26,,
25.5822500625,0x00,,
25.5822848125,0x31,,
25.5823195625,0x00,,
25.5823542500,0x3F,,
25.5823890000,0x00,,
25.5824237500,0x4E,,
25.5824584375,0x00,,
25.5824931875,0x5C,,
25.5825279375,0x00,,
25.5825626875,0x6C,,
25.5825973750,0x00,,
25.5826321250,0x7E,,
25.5826668750,0x00,,
25.5827015625,0x90,,
25.5827363125,0x00,,
25.5827710625,0xA0,,
25.5828058125,0x00,,
25.5828405000,0xB7,,
25.5828752500,0x01,,
25.5829100000,0x2D,,
25.5829446875,0x01,,
25.5829794375,0xE3,,
25.5830141875,0x03,,
25.5830489375,0xFF,,
25.5830836250,0xA3,,
25.5831183750,0x82,,
25.5831531250,0x00,,
25.5831878125,0x00,,
25.5832225625,0xA3,,
25.5832573125,0x82,,
25.5832920625,0x00,,
25.5833267500,0x00,,
25.5833615000,0x34,,
25.5833962500,0xB2,,
25.5834309375,0x0E,,
25.5834656875,0x00,,
25.5835004375,0xCF,,
25.5835351875,0x66,,
25.5835698750,0xF5,,
25.5836046250,0x00,,
25.5836393750,0x30,,
25.5836740625,0xBE,,
25.5837088125,0xF5,,
25.5837435625,0x00,,
25.5837783125,0x4C,,
25.5838130000,0xF8,,
25.5838477500,0xF5,,
25.5838825000,0x00,,
25.5839171875,0x60,,
25.5839519375,0x8B,,
25.5839866875,0x00,,
25.5840214375,0x00,,
25.5840561250,0x18,,
25.5840908750,0x4B,,
25.5841256250,0xFE,,
25.5841603125,0x00,,
25.5841950625,0x3B,,
25.5842298125,0xE7,,
25.5842645625,0x04,,
25.5842992500,0x00,,
25.5843340000,0x0D,,
25.5843687500,0x3F,,
25.5844034375,0x05,,
25.5844381875,0x00,,
25.5844729375,0xEF,,
25.5845076875,0x8F,,
25.5845423750,0x07,,
25.5845771250,0x00,,
25.5846118750,0x7D,,
25.5846465625,0x1A,,
25.5846813125,0x0A,,
25.5847160625,0x00,,
25.5847508125,0x44,,
25.5847855000,0x8B,,
25.5848202500,0x0C,,
25.5848550000,0x00,,
25.5848896875,0xD4,,
25.5849244375,0xBF,,
25.5849591875,0x11,,
25.5849939375,0x00,,
25.5850286250,0xCC,,
25.5850633750,0x96,,
25.5850981250,0x09,,
25.5851328125,0x00,,
25.5851675625,0x24,,
25.5852023125,0x10,,
25.5852370625,0x0B,,
25.5852717500,0x00,,
25.5853065000,0xDB,,
25.5853412500,0xE9,,
25.5853759375,0x05,,
25.5854106875,0x00,,
25.5854454375,0xC0,,
25.5854801875,0x7E,,
25.5855148750,0x95,,
25.5855496250,0x00,,
25.5855843750,0x0D,,
25.5856190625,0xD1,,
25.5856538125,0x11,,
25.5856885625,0x00,,
25.5857233125,0x00,,
25.5857580000,0x00,,
25.5857927500,0x00,,
25.5858275000,0xFF,,
25.5858621875,0xFF,,
25.5858969375,0x22,,
25.5859316875,0x81,,
27.5917158125,0x01,,
27.5917505625,0xE3,,
27.5917853125,0x01,,
27.5918200000,0xF0,,
27.5918547500,0xA8,,
