0x52,0x49,0x46,0x46,0x9C,0x58,0x03,0x00,0x57,0x41,0x56,0x45,0x66,0x6D,0x74,0x20,0x10,0x00,0x00,0x00,0x01,0x00,0x01,0x00,0x11,0x2B,0x00,0x00,0x11,0x2B,0x00
,0x00,0x01,0x00,0x08,0x00,0x64,0x61,0x74,0x61,0x04,0x58,0x03,0x00,0x42,0xAA,0xA5,0x55,0x55,0x52,0xAA,0xAA,0xAA,0xAA,0x55,0x55,0x55,0x55,0x55,0x2A,0xAA
,0xAA,0xAA,0xAA,0xAB,0x55,0x55,0x55,0x55,0x55,0x55,0xAA,0xAA,0xAA,0xAA,0xAA,0xAA,0xB5,0x55,0x55,0x55,0x55,0x55,0x5A,0xAA,0xAA,0xAA,0xAA,0xAA,0xAB,0x55
,0x55,0x55,0x55,0x55,0x55,0x2A,0xAA,0xAA,0xAA,0xAA,0xAA,0xA5,0x55,0x55,0x55,0x55,0x55,0x35,0x4A,0xAA,0xAA,0xAA,0xAA,0xAB,0x55,0x55,0x55,0x55,0x55,0x54
,0xAA,0xAA,0xAA,0xAA,0xAA,0xAA,0x95,0x55,0x55,0x55,0x55,0x55,0x5A,0xAA,0xAA,0xAA,0xAA,0xAA,0xA9,0xB5,0x55,0x55,0x55,0x55,0x55,0x55,0x4A,0xAA,0xAA,0xAA
,0xAA,0xAA,0x55,0x55,0x55,0x55,0x55,0x54,0xAA,0xAA,0xAA,0xAA,0xAA,0xAA,0x55,0x55,0x55,0x55,0x55,0x55,0x6A,0xB5,0x55,0xAA,0xAA,0xAB,0x55,0x55,0x55,0x54
,0xAA,0xAA,0xAA,0xAA,0xAD,0x55,0x55,0x55,0x55,0x55,0x6A,0xAA,0xAA,0xAA,0xAA,0xAA,0xD5,0x55,0x55,0x55,0x55,0x55,0x4A,0xC7,0x1C,0x70,0xE3,0x8E,0x38,0xF1
,0xC7,0x1C,0x78,0xE3,0x8E,0x3C,0x71,0xC7,0x1E,0x38,0xE3,0x8E,0x1C,0x71,0xC7,0x0E,0x38,0xE3,0x87,0x1C,0x71,0xC3,0x8E,0x38,0xE1,0xC7,0x1C,0x78,0xE3,0x8E
,0x3C,0x61,0xC7,0x1C,0x70,0xE3,0x8E,0x38,0xE3,0xC7,0x1C,0x78,0xE3,0x8E,0x18,0xE1,0xC7,0x1C,0x78,0xE3,0x8F,0x18,0xF1,0xC7,0x1C,0x38,0xE3,0x87,0x18,0xF1
,0xE3,0x1E,0x3C,0xE3,0xC7,0x98,0x70,0xF7,0x0E,0x1F,0xC3,0xC3,0xF8,0x78,0x3F,0x0F,0x87,0xC1,0xF0,0xF8,0x3E,0x1F,0x03,0xC3,0xC0,0x78,0x78,0x0F,0x0F,0x01
,0xE1,0xE0,0x3C,0x3C,0x87,0x87,0x90,0xF0,0xF6,0x1E,0x1E,0xC3,0xC3,0xF8,0x78,0x7F,0x0F,0x0F,0xE1,0xE1,0xFC,0x3C,0x39,0xC3,0x87,0x38,0x70,0xE7,0x0E,0x18
